100 10000
200 40000
300 90000
400 160000
500 250000
600 360000
700 490000
800 640000
900 810000
1000 1000000
1100 1210000
1200 1440000
1300 1690000
1400 1960000
1500 2250000
1600 2560000
1700 2890000
1800 3240000
1900 3610000
2000 4000000
2100 4410000
2200 4840000
2300 5290000
2400 5760000
2500 6250000
2600 6760000
2700 7290000
2800 7840000
2900 8410000
3000 9000000
3100 9610000
3200 10240000
3300 10890000
3400 11560000
3500 12250000
3600 12960000
3700 13690000
3800 14440000
3900 15210000
4000 16000000
4100 16810000
4200 17640000
4300 18490000
4400 19360000
4500 20250000
4600 21160000
4700 22090000
4800 23040000
4900 24010000
5000 25000000
